"response_id","survey_id","survey_title","session_id","session_num","evaluator_token","pattern_id","pattern_title","pattern_link","started_at","completed_at","duration_ms","duration_human","submitted_at","session_duration_ms","session_duration_human","q_q_overall_helpfulness","q_q_reusability","q_q_clarity_documentation","q_q_adoption_threshold","q_q_adoption_justification","q_q_time_saved","q_q_additional_observations"
11,2,experts evaluation,28,7,8S9j_OCo9Ie05C6bzsZAU3tptY5dlhxs8pF-7h3J6X0,0,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2023-133-01/ontology.ttl,2026-03-31T14:22:15.579000,2026-03-31T14:43:51.398000,140466,2m 20s,2026-03-31T14:43:56.604790,2756278,45m 56s,4,2,4,Yes,"The ontology lacks causal-effect relations, however it is a good starting point that captures the basic elements of the scenario.",51–75%,
12,2,experts evaluation,28,7,8S9j_OCo9Ie05C6bzsZAU3tptY5dlhxs8pF-7h3J6X0,0,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2023-133-01/ontology.ttl,2026-03-31T14:38:44.880000,2026-03-31T14:43:56.444000,5046,5s,2026-03-31T14:43:56.604795,2756278,45m 56s,2,2,2,No,This ontology is too generic and does not adequately represent the main causal structure of the use case,1–25%,
17,2,experts evaluation,70,20,-bwIs6BDu96EAtpFpaRj8sHsiG-kp5_feKU9CE0ZDyk,8,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2025-149-01/ontology.ttl,2026-04-03T16:24:22.746000,2026-04-03T16:26:49.574000,146827,2m 26s,2026-04-03T16:32:47.231297,828480,13m 48s,5,4,5,Yes,,26–50%,
18,2,experts evaluation,70,20,-bwIs6BDu96EAtpFpaRj8sHsiG-kp5_feKU9CE0ZDyk,8,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2025-149-01/ontology.ttl,2026-04-03T16:26:49.574000,2026-04-03T16:29:11.451000,141877,2m 21s,2026-04-03T16:32:47.231307,828480,13m 48s,3,3,3,Yes,,1–25%,
19,2,experts evaluation,70,20,-bwIs6BDu96EAtpFpaRj8sHsiG-kp5_feKU9CE0ZDyk,1,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2023-133-02/ontology.ttl,2026-04-03T16:29:11.451000,2026-04-03T16:31:47.454000,156003,2m 36s,2026-04-03T16:32:47.231311,828480,13m 48s,1,1,1,No,,0%,
20,2,experts evaluation,70,20,-bwIs6BDu96EAtpFpaRj8sHsiG-kp5_feKU9CE0ZDyk,1,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2023-133-02/ontology.ttl,2026-04-03T16:31:47.454000,2026-04-03T16:32:46.897000,59443,59s,2026-04-03T16:32:47.231315,828480,13m 48s,1,1,1,No,,0%,
21,2,experts evaluation,73,23,eXnlzfRZJxOfZ2aGda8Z0VvAsOQuBC-LyvAL0x3ep_I,0,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2023-133-01/ontology.ttl,2026-04-03T21:59:43.036000,2026-04-03T22:03:59.372000,256336,4m 16s,2026-04-03T22:12:48.336194,801177,13m 21s,3,3,2,Maybe,,1–25%,
22,2,experts evaluation,73,23,eXnlzfRZJxOfZ2aGda8Z0VvAsOQuBC-LyvAL0x3ep_I,0,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2023-133-01/ontology.ttl,2026-04-03T22:03:59.372000,2026-04-03T22:06:50.856000,171484,2m 51s,2026-04-03T22:12:48.336203,801177,13m 21s,3,3,2,Yes,,26–50%,
23,2,experts evaluation,73,23,eXnlzfRZJxOfZ2aGda8Z0VvAsOQuBC-LyvAL0x3ep_I,12,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2025-153-01/ontology.ttl,2026-04-03T22:06:50.856000,2026-04-03T22:10:40.196000,229340,3m 49s,2026-04-03T22:12:48.336207,801177,13m 21s,1,1,1,No,,0%,
24,2,experts evaluation,73,23,eXnlzfRZJxOfZ2aGda8Z0VvAsOQuBC-LyvAL0x3ep_I,12,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2025-153-01/ontology.ttl,2026-04-03T22:10:40.196000,2026-04-03T22:12:47.930000,127734,2m 7s,2026-04-03T22:12:48.336210,801177,13m 21s,3,4,3,Yes,,26–50%,
25,2,experts evaluation,74,24,93HvmxqnetZxZqjGfUpF2Tw6PN2GgWLscZX-ZXqJ6ss,0,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2023-133-01/ontology.ttl,2026-04-04T18:40:48.564000,2026-04-04T19:03:29.717000,1361153,22m 41s,2026-04-04T19:31:46.519235,3079649,51m 19s,2,2,3,No,"The pattern has a weird mix of granularity levels for a design pattern. Most of the classes are completely specific to the sprinkler scenario, so not transferrable to another domain, but the CausalRelation and EffectWeight part looks like it is intended to be generalized to any causal modeling scenario. A KG using this ontology would not be useful to answer any of the competency questions, because it only knows about causal links between WeatherEvents, not any other events. The way that the very general predicate mediatedBy has only WeatherEvents in its range indicates a lack of understanding. In a correct pattern there would be a general Event class that mediates causal relations. The LLM seems to have no idea that in order to answer the CQ's we would need to know conditional probabilities between many different kinds of events. It provides no way of connecting two events through a CausalRelation; it's only aware of the more subtle ""mediatedBy"" concept.",0%,
26,2,experts evaluation,74,24,93HvmxqnetZxZqjGfUpF2Tw6PN2GgWLscZX-ZXqJ6ss,0,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2023-133-01/ontology.ttl,2026-04-04T19:03:29.717000,2026-04-04T19:10:05.572000,395855,6m 35s,2026-04-04T19:31:46.519244,3079649,51m 19s,1,1,3,No,"Completely incoherent. ""hasCausalLink"" and ""causesSlipperiness"" are redundant. All properties in the pattern have domain ""owl:Thing""; the classes in the pattern are unconnected to anything and are pointlessly instantiated with some individuals. The only data node is not even marked as a number literal, just a generic literal, and it represents a degree of wetness, something which is not considered in the Sprinkler Bayesian network example, and does not help answer the CQ's.",0%,
27,2,experts evaluation,74,24,93HvmxqnetZxZqjGfUpF2Tw6PN2GgWLscZX-ZXqJ6ss,10,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2025-151-01/ontology.ttl,2026-04-04T19:10:05.572000,2026-04-04T19:14:19.537000,253965,4m 13s,2026-04-04T19:31:46.519248,3079649,51m 19s,1,1,2,No,"There are no properties in this pattern. It has no structure at all. It's just four key nouns from the problem description, turned into classes. Then one of the class declarations in the .ttl file is repeated about 30 times.",0%,
28,2,experts evaluation,74,24,93HvmxqnetZxZqjGfUpF2Tw6PN2GgWLscZX-ZXqJ6ss,10,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2025-151-01/ontology.ttl,2026-04-04T19:14:19.537000,2026-04-04T19:31:45.548000,1046011,17m 26s,2026-04-04T19:31:46.519251,3079649,51m 19s,1,1,3,No,"This ontology provides no property to express that an asset is the target of a given action. The documentation of the ridiculously-named property ""when"" specifies that its domain is evaluation requests and its range is date-times, but its actual domain is owl:Thing, and its range is rdfs:Literal. On top of that, EvaluationRequest is defined 4 separate times in the .ttl file, as both a class and a property, and it is assigned the type rdfs:ObjectProperty, which doesn't exist. There is nothing in this pattern worth keeping except for the names, which are already present in the problem specification. Very amusing, but not useful.",0%,
37,2,experts evaluation,126,31,jpN4b-sFRXbpvvHyOqw-3qFtjTvF3JR3B0td6ERsXJA,13,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2026-155-01/ontology.ttl,2026-04-08T21:05:22.073000,2026-04-09T02:39:17.270000,26550,26s,2026-04-09T02:40:45.283554,113406171,31h 30m 6s,2,5,3,Yes,"I am not an expert in the domain of cultural heritage, but I think the information modeled by the LLM is correct. However, the developed ODP seems very basic.",1–25%,"Despite being correct (apparently), as mentioned above, the developed ODP looks incomplete when contrasting it with the CQs (i.e., intepretations, claims, pos-processsed outputs and acquisition parameters are missing). Also, properties are missing (e.g., how is an equipment configuration captured?). I am not sure whether reusing it would actually save time (as I'd have to double check the results of the LLM)."
38,2,experts evaluation,126,31,jpN4b-sFRXbpvvHyOqw-3qFtjTvF3JR3B0td6ERsXJA,13,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2026-155-01/ontology.ttl,2026-04-08T21:18:21.772000,2026-04-09T02:40:03.973000,46702,46s,2026-04-09T02:40:45.283563,113406171,31h 30m 6s,4,5,5,Yes,This one is much more comprehensive than the previous one. ,26–50%,"I think, as this one is much more comprehensive, it would save more time. However, I noticed that properties are still missing."
39,2,experts evaluation,126,31,jpN4b-sFRXbpvvHyOqw-3qFtjTvF3JR3B0td6ERsXJA,12,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2025-153-01/ontology.ttl,2026-04-08T21:21:50.513000,2026-04-09T02:40:06.878000,2905,2s,2026-04-09T02:40:45.283567,113406171,31h 30m 6s,2,2,1,No,The ODP contains only two classes with a long list of redundant and inconsistent disjointWith declarations. This could break reasoners and make the ontology difficult to maintain/understand.,0%,This ODP is not very useful. Looks like an erroneous output.
40,2,experts evaluation,126,31,jpN4b-sFRXbpvvHyOqw-3qFtjTvF3JR3B0td6ERsXJA,12,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2025-153-01/ontology.ttl,2026-04-08T21:39:08.973000,2026-04-09T02:40:44.499000,37621,37s,2026-04-09T02:40:45.283571,113406171,31h 30m 6s,3,4,2,Maybe,"Checking the RDF graph I can see that there are several important relationships missing, and again missing properties. ",1–25%,"My impression is that the LLM (assuming the same one was used in this experiment) performed worse in this domain (which is more complex and very specific) when compared to the previous one (which is also complex, but on a smaller extent). Could it be that the same CQ formulated differently would have had different results?"
41,2,experts evaluation,134,36,roe1UIbY13mEYAoJqBoRuQ4vlRC3Jo8d6JLjhqP3aVQ,0,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2023-133-01/ontology.ttl,2026-04-09T07:44:49.795000,2026-04-09T07:47:54.128000,184333,3m 4s,2026-04-09T08:04:38.108173,1193424,19m 53s,2,2,1,No,The ontology does not model the CQs. It also does not follow a consistent naming practice (datatype propery looks like a class).,0%,
42,2,experts evaluation,134,36,roe1UIbY13mEYAoJqBoRuQ4vlRC3Jo8d6JLjhqP3aVQ,0,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2023-133-01/ontology.ttl,2026-04-09T07:47:54.128000,2026-04-09T07:49:12.102000,77974,1m 17s,2026-04-09T08:04:38.108182,1193424,19m 53s,1,2,1,No,The ontology does not model the important parts of the domain.,0%,
43,2,experts evaluation,134,36,roe1UIbY13mEYAoJqBoRuQ4vlRC3Jo8d6JLjhqP3aVQ,3,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2023-134-02/ontology.ttl,2026-04-09T07:49:12.102000,2026-04-09T08:03:17.197000,845095,14m 5s,2026-04-09T08:04:38.108186,1193424,19m 53s,1,1,1,No,The ontology does not answer to the CQs,0%,
44,2,experts evaluation,134,36,roe1UIbY13mEYAoJqBoRuQ4vlRC3Jo8d6JLjhqP3aVQ,3,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2023-134-02/ontology.ttl,2026-04-09T08:03:17.197000,2026-04-09T08:04:37.587000,80390,1m 20s,2026-04-09T08:04:38.108190,1193424,19m 53s,1,1,1,No,The ontology formalizes the CQs as classes but does not formalize anything related to the domain,0%,
45,2,experts evaluation,133,35,q0chgqyldjZB2OYogX6puxehUKbrlt2kTvUy103IHXY,11,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2025-151-02/ontology.ttl,2026-04-09T09:24:50.767000,2026-04-09T09:35:36.844000,646077,10m 46s,2026-04-09T09:44:28.680753,7422459,2h 3m 42s,1,1,1,No,"Some CQs are well formulated and clearly related to the domain. However, others are misleading (such as the first one), and I believe that several important questions and point of views are missing from the list",1–25%,
46,2,experts evaluation,133,35,q0chgqyldjZB2OYogX6puxehUKbrlt2kTvUy103IHXY,11,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2025-151-02/ontology.ttl,2026-04-09T09:35:36.845000,2026-04-09T09:40:22.899000,286054,4m 46s,2026-04-09T09:44:28.680762,7422459,2h 3m 42s,2,2,1,Maybe,the same as previously stated,1–25%,
47,2,experts evaluation,133,35,q0chgqyldjZB2OYogX6puxehUKbrlt2kTvUy103IHXY,1,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2023-133-02/ontology.ttl,2026-04-09T09:40:22.899000,2026-04-09T09:43:26.933000,184034,3m 4s,2026-04-09T09:44:28.680767,7422459,2h 3m 42s,5,5,1,Yes,I think CQs are all quite useful,26–50%,
48,2,experts evaluation,133,35,q0chgqyldjZB2OYogX6puxehUKbrlt2kTvUy103IHXY,1,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2023-133-02/ontology.ttl,2026-04-09T09:43:26.933000,2026-04-09T09:44:29.446000,62513,1m 2s,2026-04-09T09:44:28.680771,7422459,2h 3m 42s,5,5,1,Yes,same ,26–50%,
49,2,experts evaluation,163,63,KLvUce85Fqjtw5vPrw_hoo5sNb0QcsrMzv8XDL1qAgk,2,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2023-134-01/ontology.ttl,2026-04-10T10:38:33.623000,2026-04-10T10:52:08.183000,814560,13m 34s,2026-04-10T11:03:53.042162,1548896,25m 48s,1,1,1,No,"I am not sure about the ODP task to be honest. Based on the generated model, it has no connection to the provided CQs. So basically, the modeling defines only types of governance challenges and the solutions, but it wont be able to answer the CQs. ",0%,
50,2,experts evaluation,163,63,KLvUce85Fqjtw5vPrw_hoo5sNb0QcsrMzv8XDL1qAgk,2,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2023-134-01/ontology.ttl,2026-04-10T10:52:08.183000,2026-04-10T10:56:18.409000,250226,4m 10s,2026-04-10T11:03:53.042171,1548896,25m 48s,4,3,3,Yes,"The generated model is a good basis, it does not cover all the CQs, but is able to model who and when connections. It needs to be extended. ",26–50%,
51,2,experts evaluation,163,63,KLvUce85Fqjtw5vPrw_hoo5sNb0QcsrMzv8XDL1qAgk,10,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2025-151-01/ontology.ttl,2026-04-10T10:56:18.409000,2026-04-10T11:00:09.041000,230632,3m 50s,2026-04-10T11:03:53.042175,1548896,25m 48s,1,1,1,No,The model is missing the relations at all. So it is simply a class definition. It also contains a lot of redundant definitions. ,0%,
52,2,experts evaluation,163,63,KLvUce85Fqjtw5vPrw_hoo5sNb0QcsrMzv8XDL1qAgk,10,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2025-151-01/ontology.ttl,2026-04-10T11:00:09.041000,2026-04-10T11:03:52.948000,223907,3m 43s,2026-04-10T11:03:53.042179,1548896,25m 48s,2,1,1,No,"redundant declarations, wrong modeling design, e.g. :EvaluationRequest is used as both a class and an object property, :AdditionalContext is defined to be an annotation property, I do not know. No domain and range are defined. Just too many problems to solve before the modeling can be useful. ",0%,
57,2,experts evaluation,170,69,EVUqYHrQFvLPEYZMVw60P9eA5iwwlyAjdZu5KpZXFvo,2,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2023-134-01/ontology.ttl,2026-04-10T13:40:36.956000,2026-04-10T13:50:34.580000,597624,9m 57s,2026-04-10T13:59:27.502914,1133733,18m 53s,1,1,2,No,"- bad semantic modeling via properties. it model every things with a simple/incorrect rule, A(class): has b (object property): C (class), like: challenge:has challenge solition:challenge solution.
- even the domain/range restrictions follow above structure, and cannot be generaly correct, for example, out of this pattern, domain of ""has solution description"" can be any ""solution description"" not only ""challenge solution""",1–25%,
58,2,experts evaluation,170,69,EVUqYHrQFvLPEYZMVw60P9eA5iwwlyAjdZu5KpZXFvo,2,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2023-134-01/ontology.ttl,2026-04-10T13:50:34.580000,2026-04-10T13:53:27.288000,172708,2m 52s,2026-04-10T13:59:27.502923,1133733,18m 53s,1,1,2,No,"almost all created object properties should be a class (e.g., creator, identifier, etc), or in a very special cases annotation properties.",1–25%,
59,2,experts evaluation,170,69,EVUqYHrQFvLPEYZMVw60P9eA5iwwlyAjdZu5KpZXFvo,4,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2023-134-03/ontology.ttl,2026-04-10T13:53:27.288000,2026-04-10T13:56:32.109000,184821,3m 4s,2026-04-10T13:59:27.502927,1133733,18m 53s,1,1,2,No,"object properties are not correctly created, their domain and range restictions can change out of this pattern",1–25%,
60,2,experts evaluation,170,69,EVUqYHrQFvLPEYZMVw60P9eA5iwwlyAjdZu5KpZXFvo,4,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2023-134-03/ontology.ttl,2026-04-10T13:56:32.110000,2026-04-10T13:59:27.363000,175253,2m 55s,2026-04-10T13:59:27.502931,1133733,18m 53s,2,3,2,No,"no domain/range, not general definitions, no exioms for classes (no relationship)",1–25%,
65,2,experts evaluation,180,75,NvUIIySY5e1a2G6SOPdVSd-2Vzw_lCzukASLelsjX1s,10,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2025-151-01/ontology.ttl,2026-04-10T17:11:43.536000,2026-04-10T17:15:51.735000,248199,4m 8s,2026-04-10T17:38:46.851200,1624974,27m 4s,1,1,1,No,This draft doesnot include any relationships and did not capture the necessary classes. ,0%,This draft says nothing about the scenario. 
66,2,experts evaluation,180,75,NvUIIySY5e1a2G6SOPdVSd-2Vzw_lCzukASLelsjX1s,10,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2025-151-01/ontology.ttl,2026-04-10T17:15:51.735000,2026-04-10T17:24:17.618000,505883,8m 25s,2026-04-10T17:38:46.851209,1624974,27m 4s,2,2,1,No,The obvious errors made it seem like a waste of energy and time to analyse the generated ontology. ,1–25%,"The object properties dont have domain and range restrictions. It is weird to have RDFS:[X]Properties as classes. When I first saw these classes, I decided not to use ithe draft. "
67,2,experts evaluation,180,75,NvUIIySY5e1a2G6SOPdVSd-2Vzw_lCzukASLelsjX1s,7,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2025-147-01/ontology.ttl,2026-04-10T17:24:17.618000,2026-04-10T17:34:38.260000,620642,10m 20s,2026-04-10T17:38:46.851213,1624974,27m 4s,1,1,1,No,The ontology hardly covers the scope of the CQs.,0%,"The ontology covers only the highest calsses of usecase #3.. It does not have overarching classes for logistics, fleet management, monitoring, and research. 
- The relation hierarchy was not created, but can easily be solved manually. BUT they are not useful at all. 

But overall, there is hardly any correspondence btw draft, CQs, and the description of the scenario. 
"
68,2,experts evaluation,180,75,NvUIIySY5e1a2G6SOPdVSd-2Vzw_lCzukASLelsjX1s,7,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2025-147-01/ontology.ttl,2026-04-10T17:34:38.260000,2026-04-10T17:38:46.737000,248477,4m 8s,2026-04-10T17:38:46.851217,1624974,27m 4s,1,1,1,No,"A bunch of labels without semantics. The object property labels are far from being ""relations"", there are no domain and range restrictions. The classes cannot cover the domain. ",0%,No use at all. 
